id	url	page
18da8a78c48537fa9bc38690491b04b1	https://www.government.se/press-releases/2023/03/government-donating-722-000-million-covid-19-vaccine-doses-to-low--and-middle-income-countries/	3
058892405eaa393ab2514a8161474906	https://www.government.se/press-releases/2023/02/swedish-led-pledging-event-raised-almost-usd-1.2-billion-for-life-saving-assistance-in-yemen	3
9fd811e2714b3f38a419d9551fa1b7b8	https://www.government.se/press-releases/2023/02/sweden-welcomes-deal-on-the-issue-of-the-northern-ireland-protocol/	3
828e6a585f243132a2260317d4e42dc6	https://www.government.se/press-releases/2023/02/eu-adopts-new-sanctions-against-russia/	3
948e25871106373396990454b4842e66	https://www.government.se/press-releases/2023/02/heavy-advanced-weapons-to-ukraine-in-new-support-package/	3
6e7e5d62d75536479b03762f7ad7bfec	https://www.government.se/press-releases/2023/02/ebba-busch-and-andreas-carlson-to-receive-eu-energy-and-transport-ministers-for-informal-meeting/	3
c9748334f32b3829938a816bc91c591a	https://www.government.se/press-releases/2023/02/government-allocating-additional-sek-520-million-in-support-to-ukraine/	3
e518e8bf1e5d3a358a4a0c9859bf42c6	https://www.government.se/press-releases/2023/02/people-with-visa-exemptions-to-be-able-to-show-their-original-passport/	3
fcc2a5f401f43a6895b9feb1feeb5931	https://www.government.se/press-releases/2023/02/sweden-providing-additional-eur-3-million-in-emergency-assistance-to-those-affected-by-earthquakes-in-turkiye-and-syria/	3
3f1a1fe86d1a385c94dfa0e7fdcf8204	https://www.government.se/press-releases/2023/02/final-negotiations-on-global-convention-for-marine-biodiversity-protection/	3
a94f5b6822243b649f08c50e9d7f9b06	https://www.government.se/press-releases/2023/02/minister-for-international-development-cooperation-and-foreign-trade-johan-forssell-visits-turkiye-in-connection-with-the-earthquake-disaster/	3
0d23833095943f819b278c98e70d2389	https://www.government.se/press-releases/2023/02/national-board-of-health-and-welfare-to-assess-possibility-of-donating-medical-equipment-and-supplies-to-disaster-affected-or-war-torn-areas/	3
fded6e480d36389dafd02484e864644c	https://www.government.se/press-releases/2023/02/minister-for-foreign-affairs-tobias-billstrom-to-meet-german-counterpart-annalena-baerbock/	3
ed52c1fee02d3fd6990f862d8efece90	https://www.government.se/press-releases/2023/02/sweden-sends-search-and-rescue-teams-to-turkiye-today/	3
d09a07e69cdf397c9be8cc0deb7f0dbb	https://www.government.se/press-releases/2023/02/european-commission-and-swedish-presidency-of-the-council-will-organise-adonors-conference-for-the-people-of-turkiye-and-syria-affected-by-the-earthquake/	3
b3f25ec6c5413f1ca3d99963d65af090	https://www.government.se/press-releases/2023/02/additional-sek-30-million-in-humanitarian-support-and-experts-to-turkiye-and-syria/	3
9096bcb63bcb33e4859924ce24a4a15c	https://www.government.se/press-releases/2023/02/government-presents-new-support-package-to-turkiye-and-syria/	3
a186a46e5da430f9beb529b6d5dfbfb6	https://www.government.se/press-releases/2023/02/minister-for-social-affairs-and-public-health-appointed-member-of-the-global-leaders-group-on-antimicrobial-resistance/	3
e22f62ae24bd344eb6e88963488158d4	https://www.government.se/press-releases/2023/02/government-measures-in-response-to-earthquake-in-turkiye/	3
62d4748599c13b3aa0d99a3772ec5752	https://www.government.se/press-releases/2023/02/press-conference-with-minister-for-civil-defence-carl-oskar-bohlin-minister-for-international-development-cooperation-and-foreign-trade-johan-forssell/	3
