Dangerous Liaisons;77;No
True Grit;77;Yes
Salvador;77;No
Adventures of Smilin' Jack, The;77;No
Superman IV: The Quest for Peace;77;No
Madonna, Justify My Love;77;No
El Guerrero Solitario;77;No
Asphalt Jungle, The;77;No
Experiment in Terror;77;No
Until They Sail;77;No
Ferry to Hong Kong;77;No
Criss Cross;77;No
Pink Panther, The;77;No
Range Feud;77;No
Lodger (Story of the London Fog);76;No
Cyrano de Bergerac;76;No
Absence of Malice;76;No
Stealing Home;76;No
Horse Soldiers, The;76;No
Rooster Cogburn;76;No
Salome's Last Dance;76;No
Reds;76;Yes
Black Sunday;76;No
In Country;76;No
Marathon;76;No
A Day in October;76;No
Posse;76;No
Blood on the Sun;76;No
Romulus & the Sabines;76;No
Keeper of the Flame;76;No
Appointment with Death;75;No
Best Defense;75;No
Battle of Midway, The;75;No
Roma;75;No
Buffet Froid;75;No
Sea of Grass, The;75;No
A Streetcar Named Desire;75;Yes
RAD;75;No
Madonna Live, The Virgin Tour;75;No
Unsettled Land;75;No
Man Who Haunted Himself, The;75;No
Jamaica Inn;75;No
Getting Physical;75;No
Wild Times;75;No
Julia;75;Yes
Pretty in Pink;75;No
Another You;75;No
Defending Your Life;75;No
Dodesukaden;75;No
Crash & Burn;75;No
Wild Party, The;75;No
American Autobahn;75;No
Sara Dane;75;No
Closely Watched Trains;75;Yes
Burn!;75;No
Alone in the Dark;75;No
Magic Christian, The;75;No
Randy Rides Alone;75;No
Act of Piracy;74;No
Under Capricorn;74;No
Meeting Venus;74;No
Fifth Floor, The;74;No
Camille;74;No
Why Me?;74;No
Best Friends;74;No
American Anthem;74;No
Ciao Italia, Madonna Live from Italy;74;No
Quiet Man, The;74;No
Fighting Kentuckian, The;74;No
Kriemhild's Revenge, The Nibelungenlied;74;No
Sabotage;74;No
Raintree County;74;No
Mystic Pizza;74;No
Hell Comes to Frogtown;74;No
Kagemusha;74;Yes
Border Street;73;No
Black Rain;73;No
Reversal of Fortune;73;Yes
Joyless Street;73;No
Single Standard, The;73;No
Clan of the Cave Bear, The;73;No
Boom Town;73;No
State of Things, The;73;No
Unfaithfully Yours;73;No
Yesterday, Today & Tomorrow;73;Yes
Gator Bait II;73;No
Six Weeks;73;No
Mc Q;73;No
Ransom;73;No
Planes, Trains & Automobiles;73;No
Bang the Drum Slowly;73;No
Law of Desire;73;No
Frontier Horizon;73;No
Neath Arizona Skies;73;No
Count of Old Town, The;72;No
Nightbreed;72;No
Beat Street;72;No
Hearts of Darkness, A Filmmaker's Apocalypse;72;No
Three Godfathers;72;No
Novice, The;72;No
Hear My Song;72;No
Flesh & the Devil, The;72;No
Mysterious Lady, The;72;No
Sands of Iwo Jima;72;No
In a Shallow Grave;72;No
Z;72;Yes
Conformist, The;72;No
Dirty Harry;72;No
Indigo Autumn & Lilac Dream;72;No
Driver's Seat, The;72;No
Stage Fright;72;No
Le Dernier Combat;72;No
Fire, Ice & Dynamite;72;No
Bandits of Dark Canyon;72;No
Chisum;72;No
Great McGonagall, The;72;No
Dear Brigitte;71;No
Killjoy;71;No
Programmed to Kill;71;No
Year My Voice Broke, The;71;No
Betty Blue;71;No
Wings of Desire;71;No
Allnighter, The;71;No
Prettykill;71;No
Mogambo;71;No
Dragonard;71;No
A Chorus Line, The Movie;71;No
Dragonfight;71;No
Riff Raff;71;No
Accused, The;71;Yes
A Dry White Season;71;No
Four Horsemen of the Apocalypse, The;71;No
Baja Oklahoma;71;No
Vera Cruz;71;No
Mysterious Mr. Wong;71;No
Assault, The;71;Yes
Mon Oncle D'Amerique;71;No
Dr Alien;70;No
Creepshow;70;No
Bride Is Much Too Beautiful, The;70;No
Eyes of the Amaryllis, The;70;No
Wild Orchids;70;No
Caddyshack;70;No
Sex, Lies, and Videotape;70;Yes
Hot Spot;70;No
Il Bidone;70;No
A Matter of Time;70;No
Front, The;70;No
Guys & Dolls;70;Yes
Shoot Loud, Louder, I Don't Understand!;70;No
To Live & Die in L. A.;70;No
Flight to Fury;70;No
Hot Line, The;70;No
American Film Institute, Alfred Hitchcock;70;No
Beartooth;70;No
Duke, The Films of John Wayne;70;No
Henry, Portrait of a Serial Killer;69;No
Presumed Innocent;69;No
Fear;69;No
Stromboli;69;No
Honkytonk Man;69;No
Shampoo;69;Yes
Double Edge;69;No
Comic Relief;69;No
To Catch a Thief;69;No
Bad Seed, The;69;No
Lethal Weapon 2;69;No
Blame It on the Bellboy;69;No
Christopher Columbus;69;No
Forgotten, The;69;No
Eiger Sanction, The;69;No
Devils, The;69;No
Johnny Tiger;69;No
Heat;69;No
Menace on the Mountain;69;No
Disorderlies;69;No
Tie Me Up! Tie Me Down!;68;No
High Heels;68;No
Octopussy;68;No
Tucker: The Man & His Dream;68;No
Hunting;68;No
Bataan;68;No
Daffy Duck's Quackbusters;68;No
Hush, Hush, Sweet Charlotte;68;No
Once Around;68;No
Annie Hall;68;Yes
Polyester;68;No
Big Jake;68;No
Ladyhawke;68;No
Man with Two Brains, The;68;No
Jewel of the Nile, The;68;No
Trash;68;No
Glass Menagerie, The;68;No
Wolf at the Door, The;68;No
Scum;68;No
An Evening with Robin Williams;68;No
Good, the Bad & the Ugly, The;68;No
Train, The;68;No
Law & Jake Wade, The;68;No
Hurricane Express, The;68;No
Man Who Loved Women, The;67;No
Tartuffe;67;No
Cactus Flower;67;Yes
Matchmaker, The;67;No
Hair;67;No
Diary of a Hitman;67;No
Mata Hari;67;No
Go Tell the Spartans;67;No
48 Hrs.;67;No
Experts, The;67;No
Spartacus;67;Yes
Hang 'em High;67;No
A Cry in the Dark;67;No
On a Clear Day You Can See Forever;67;No
Bedazzled;67;No
Lost Boys, The;67;No
Dangerous When Wet;67;No
Jay Leno: The American Dream;67;No
Women, The;66;No
Crisis;66;No
Secrets of Women;66;No
Firehouse;66;No
Ambassador Bill;66;No
White Hunter, Black Heart;66;No
Last Metro, The;66;No
Steel Magnolias;66;No
Blackboard Jungle, The;66;No
Inspiration;66;No
Number Seventeen;66;No
Roxanne;66;No
Without Love;66;No
Killer's Kiss;66;No
Crocodile Dundee;66;No
